#,Area,Route / File,Component / File,Done,Notes,Last Update
1,Admin,/dashboard/admin,AdminDashboardPage.tsx,FALSE,"Token overview, quick stats",
2,Admin,/dashboard/admin/companies,AdminCompaniesPage.tsx,FALSE,Manage companies & plans,
3,Admin,/dashboard/admin/designers,AdminDesignersPage.tsx,FALSE,"Designers list, balances, withdraws",
4,Admin,/dashboard/admin/tickets,AdminBoardClient.tsx,FALSE,Global Kanban (all companies),
5,Admin,/dashboard/admin/jobs,AdminJobsPage.tsx,FALSE,JobType CRUD (library),
6,Admin,/dashboard/admin/ledger,AdminLedgerPage.tsx,FALSE,"TokenLedger, filters",
7,Admin,/dashboard/admin/withdrawals,AdminWithdrawalsPage.tsx,FALSE,Approve designer withdrawals,
8,Admin,/dashboard/admin/settings,AdminSettingsPage.tsx,FALSE,System & token settings,
9,Admin,/dashboard/admin/analytics,AdminAnalyticsPage.tsx,FALSE,Token analytics (charts),
10,Admin,/dashboard/admin/system/logs,AdminLogsPage.tsx,FALSE,DB & sync logs,
11,Designer,/dashboard/designer,DesignerDashboardPage.tsx,FALSE,Assigned tasks overview,
12,Designer,/dashboard/designer/board,DesignerBoardClient.tsx,FALSE,Designer Kanban (in progress / in review),
13,Designer,/dashboard/designer/payouts,DesignerPayoutsPage.tsx,FALSE,Withdraw requests UI,
14,Designer,/dashboard/designer/profile,DesignerProfilePage.tsx,FALSE,Profile & payment details,
15,Designer,/dashboard/designer/history,DesignerHistoryPage.tsx,FALSE,Earned tokens history,
16,Designer,/dashboard/designer/help,DesignerHelpPage.tsx,FALSE,Docs & onboarding,
17,Customer,/dashboard/customer,CustomerDashboardPage.tsx,FALSE,"Company overview, token balance",
18,Customer,/dashboard/customer/board,CustomerBoardClient.tsx,FALSE,Customer Kanban (full flow),
19,Customer,/dashboard/customer/tokens,CustomerTokensPage.tsx,FALSE,Token usage & top-up (if any),
20,Customer,/dashboard/customer/members,CustomerMembersPage.tsx,FALSE,Invite & manage members,
21,Customer,/dashboard/customer/projects,CustomerProjectsPage.tsx,FALSE,Project list & codes,
22,Customer,/dashboard/customer/help,CustomerHelpPage.tsx,FALSE,Docs & support,
23,Customer,/dashboard/customer/job-picker,JobPickerModal.tsx,FALSE,Select job types when creating ticket,
24,Customer,/dashboard/customer/create-ticket,CustomerCreateTicket.tsx,FALSE,Ticket creation flow,
25,Shared,components/board/Column.tsx,components/board/Column.tsx,FALSE,Shared column component,
26,Shared,components/board/Card.tsx,components/board/Card.tsx,FALSE,Shared card component,
27,Shared,components/board/BoardHeader.tsx,components/board/BoardHeader.tsx,FALSE,Shared header with search,
28,Shared,components/nav/BoardSidebar.tsx,components/nav/BoardSidebar.tsx,FALSE,Shared board sidebar,
29,Shared,components/nav/BoardNavbar.tsx,components/nav/BoardNavbar.tsx,FALSE,Top navbar,
30,Shared,styles/board-frame.css,styles/board-frame.css,FALSE,Grid & layout rules,
31,Shared,styles/board-cards.css,styles/board-cards.css,FALSE,Card styles,
32,Shared,styles/board-overrides.css,styles/board-overrides.css,FALSE,Final overrides (Jira-style),
33,Shared,components/layout/ContentShell.tsx,components/layout/ContentShell.tsx,FALSE,Global shell for pages,
34,API,app/api/admin/jobs/route.ts,api/admin/jobs,FALSE,CRUD JobType,
35,API,app/api/admin/companies/route.ts,api/admin/companies,FALSE,Manage companies & plans,
36,API,app/api/admin/ledger/route.ts,api/admin/ledger,FALSE,Token ledger queries,
37,API,app/api/customer/tickets/route.ts,api/customer/tickets,FALSE,Create & read tickets,
38,API,app/api/designer/payout/route.ts,api/designer/payout,FALSE,Request withdraw,
39,API,app/api/tickets/status/route.ts,api/tickets/status,FALSE,Handle status transitions & ledger,
40,API,app/api/admin/withdrawals/route.ts,api/admin/withdrawals,FALSE,Approve withdrawals,
41,API,app/api/admin/analytics/route.ts,api/admin/analytics,FALSE,Token analytics data,
42,API,app/api/auth/webhook/route.ts,api/auth/webhook,FALSE,Auth sync (Clerk/Better-auth),
43,API,scripts/reset-monthly-tokens.ts,scripts/reset-monthly-tokens.ts,FALSE,Monthly token reset script,
44,Infra,.github/workflows/ci.yml,.github/workflows/ci.yml,FALSE,CI & tests,
45,Infra,vercel.json,vercel.json,FALSE,Vercel deployment config,
46,Infra,.env.example,.env.example,FALSE,Env vars template,
47,Infra,prisma/schema.prisma,prisma/schema.prisma,FALSE,DB schema,
48,Infra,README.md,README.md,FALSE,Project docs & commands,
